freq_rebal_jours,pnl
1,13.168920079441193
1,-0.20014849177677263
1,-0.525064524947993
1,-1.2262188892660788
1,-7.709649429458693
1,8.000194154512286
1,0.09840534506918175
1,-0.3944910601095728
1,15.561849410103406
1,-0.917230322514996
1,20.69911341336895
1,-1.2839187566869157
1,-0.13998634232920892
1,6.601467562790674
1,22.574544644813983
1,-4.7379757821732085
1,7.68527851691843
1,-1.017816397762175
1,-0.9091653712730619
1,-0.16318874947650386
1,0.010202175160500815
1,-1.17867739170606
1,-0.23160731545583246
1,15.775590727891867
1,-1.2667364537792594
1,-1.1476609519942542
1,-0.5398100070131733
1,15.410588861308554
1,13.0926526735757
1,-5.260328956731641
1,12.519663655640159
1,8.259454018958358
1,-16.6095079664978
1,-1.0822541321479378
1,-0.1977192586584522
1,0.39081977168405047
1,-3.152246744261589
1,-0.62701123810956
1,-9.428680906226376
1,-0.8251985165139502
1,8.81497001708074
1,-0.5419630141295215
1,-2.4101708402275364
1,-0.22972478045218736
1,4.606371570074693
1,-0.2456334966538094
1,-7.551570473336113
1,-1.220237555118672
1,-0.5467276570182946
1,-0.8715047893947769
1,29.274814072705084
1,-0.454540765787911
1,13.000972687725792
1,-16.54069235020198
1,-0.2416288017340804
1,16.569180341662303
1,-0.8163262741514785
1,-4.228398993508577
1,-0.440474072434597
1,-0.7431110845383699
1,7.04579194158741
1,6.651168788037438
1,13.278223147729214
1,-15.240394061488345
1,-0.007776627048954765
1,-13.71519980600064
1,-0.6014193463027055
1,-1.7132783377049918
1,-0.7694238070418464
1,-7.132462249229704
1,-1.2623635225700696
1,-2.1394980853969514
1,-1.6859298346629288
1,-9.618267645365009
1,-2.954170687593262
1,-3.494138048801233
1,-0.4572837452556371
1,0.5237356626692389
1,0.22713423844585634
1,-2.9041199298198705
1,-1.9384792997630313
1,-4.551795296082176
1,-0.7312336044828527
1,-3.243841589423539
1,-2.765191192197392
1,-0.1642100431461273
1,-0.6363342606253184
1,16.26937369564135
1,-2.01130028308188
1,7.387581707568948
1,-0.9693718862654492
1,-1.8612923616405652
1,-3.1058981211770345
1,-0.7458038836590362
1,-1.5693141509013628
1,-0.40054516671202123
1,-0.31284437280808675
