annee,indice_sous_jacent,indice_vt,exposition_pct
0.194444,104.059217,99.311384,37.100335
0.198413,103.447337,99.100929,37.945063
0.202381,103.679321,99.191358,38.911775
0.206349,101.086931,98.232290,37.766089
0.210317,98.912450,97.440330,37.213143
0.214286,97.760388,97.024062,37.136198
0.218254,96.378030,96.520624,41.279885
0.222222,94.744404,95.850891,40.969874
0.226190,92.308510,94.846866,40.938778
0.230159,90.795828,94.216121,40.694631
0.234127,86.554175,92.430516,42.989543
0.238095,86.484021,92.403538,44.082065
0.242063,86.213732,92.281359,49.040770
0.246032,86.284535,92.323191,53.915988
0.250000,86.378825,92.381808,54.817784
0.253968,85.623353,91.943035,56.844772
0.257937,86.180038,92.286774,69.761832
0.261905,86.689944,92.670468,66.258658
0.265873,86.988276,92.884879,64.958663
0.269841,86.632198,92.641125,66.869648
0.273810,86.740917,92.721913,68.970565
0.277778,86.542023,92.578130,68.630705
0.281746,86.943695,92.875909,68.077285
0.285714,86.658926,92.671760,70.701736
0.289683,85.958232,92.144678,72.954936
0.293651,85.450176,91.749822,73.214352
0.297619,85.055234,91.441788,73.878540
0.301587,85.323411,91.657160,74.478066
0.305556,84.801634,91.242024,80.679247
0.309524,84.730701,91.182199,83.132647
0.313492,85.204125,91.607261,150.000000
0.317460,85.029561,91.321194,150.000000
0.321429,85.124118,91.468994,150.000000
0.325397,86.581943,93.814185,150.000000
0.329365,86.930488,94.376021,150.000000
0.333333,87.571213,95.414743,150.000000
0.337302,87.646031,95.532289,150.000000
0.341270,87.130043,94.683927,150.000000
0.345238,84.176505,89.864830,97.285495
0.349206,85.717988,91.466051,88.760555
0.353175,85.554382,91.312116,88.797287
0.357143,88.215329,93.834996,74.269899
0.361111,90.263102,95.455157,69.335550
0.365079,89.622961,94.988685,68.815558
0.369048,87.721015,93.604429,65.022424
0.373016,85.884657,92.333549,61.783199
0.376984,84.978914,91.735434,61.152201
0.380952,84.577842,91.474204,61.093917
0.384921,85.165113,91.865777,61.005457
0.388889,83.464435,90.750195,58.517989
0.392857,81.009268,89.191802,54.562610
0.396825,82.896702,90.329677,51.810591
0.400794,81.706649,89.662137,51.182046
0.404762,82.839619,90.302817,51.631987
0.408730,84.430667,91.202650,50.078875
0.412698,85.868434,91.984935,49.162627
0.416667,88.943809,93.609207,45.305515
0.420635,89.066332,93.672708,45.433014
0.424603,89.358234,93.817257,49.635822
0.428571,89.081260,93.677607,50.430520
0.432540,92.397430,95.440865,46.693915
0.436508,92.776117,95.628560,49.129717
0.440476,95.325022,96.924158,48.491714
0.444444,94.285199,96.416424,48.192327
0.448413,96.280639,97.404766,49.306357
0.452381,96.846021,97.691689,51.987875
0.456349,101.253346,100.007624,48.104183
0.460317,101.810561,100.277519,48.694061
0.464286,102.449074,100.588860,48.681936
0.468254,102.536137,100.635596,51.721684
0.472222,101.875385,100.304998,58.347101
0.476190,100.770523,99.674425,56.620004
0.480159,100.388266,99.464636,58.940388
0.484127,100.400664,99.475928,58.451214
0.488095,100.981905,99.816641,58.943541
0.492063,100.328508,99.440016,58.069076
0.496032,99.967292,99.236255,62.562318
0.500000,99.914145,99.206934,62.414866
